,lhs,rhs,support,confidence,sale,recommendation,profit,mark
1544,"['凉拌菠菜', '剁椒鱼头', '焖猪手', '香酥两吃大虾']",芹菜炒腰花,0.011000000000000001,0.833,0.35,0.85,0.5,6.79
1548,"['凉拌菠菜', '剁椒鱼头', '辣炒鱿鱼', '香酥两吃大虾']",芹菜炒腰花,0.011000000000000001,0.667,0.35,0.85,0.5,6.79
1553,"['焖猪手', '自制猪肉脯', '辣炒鱿鱼', '麻辣小龙虾']",芹菜炒腰花,0.011000000000000001,0.833,0.35,0.85,0.5,6.79
1595,"['凉拌菠菜', '姜葱炒花蟹', '焖猪手', '辣炒鱿鱼']",芹菜炒腰花,0.011000000000000001,0.667,0.35,0.85,0.5,6.79
1588,"['凉拌菠菜', '美妙绝伦之白莲花', '豌豆薯仔猪骨汤']",芹菜炒腰花,0.011000000000000001,0.667,0.35,0.85,0.5,6.79
2046,"['凉拌菠菜', '炝炒大白菜', '焖猪手']",芹菜炒腰花,0.011000000000000001,0.625,0.35,0.85,0.5,6.79
2051,"['清蒸海鱼', '焖猪手', '芝士烩波士顿龙虾']",芹菜炒腰花,0.011000000000000001,0.625,0.35,0.85,0.5,6.79
2064,"['焖猪手', '爆炒猪肝', '蒙古烤羊腿', '辣炒鱿鱼']",芹菜炒腰花,0.011000000000000001,1.0,0.35,0.85,0.5,6.79
2088,"['凉拌菠菜', '爆炒猪肝', '自制猪肉脯', '豌豆薯仔猪骨汤']",芹菜炒腰花,0.011000000000000001,1.0,0.35,0.85,0.5,6.79
2087,"['凉拌菠菜', '爆炒猪肝', '自制猪肉脯', '芝士烩波士顿龙虾']",芹菜炒腰花,0.011000000000000001,1.0,0.35,0.85,0.5,6.79
1580,"['凉拌菠菜', '自制猪肉脯', '芝士烩波士顿龙虾', '谷稻小庄']",芹菜炒腰花,0.011000000000000001,0.667,0.35,0.85,0.5,6.79
1558,"['凉拌菠菜', '焖猪手', '辣炒鱿鱼', '香酥两吃大虾']",芹菜炒腰花,0.011000000000000001,0.833,0.35,0.85,0.5,6.79
1575,"['清蒸海鱼', '自制猪肉脯', '芝士烩波士顿龙虾']",芹菜炒腰花,0.011000000000000001,0.667,0.35,0.85,0.5,6.79
1573,"['清蒸海鱼', '爆炒猪肝', '谷稻小庄']",芹菜炒腰花,0.011000000000000001,0.667,0.35,0.85,0.5,6.79
2078,"['凉拌菠菜', '姜葱炒花蟹', '自制猪肉脯']",芹菜炒腰花,0.011000000000000001,0.7140000000000001,0.35,0.85,0.5,6.79
1981,"['剁椒鱼头', '爆炒猪肝', '自制猪肉脯', '辣炒鱿鱼']",芹菜炒腰花,0.011000000000000001,0.769,0.35,0.85,0.5,6.79
2012,"['剁椒鱼头', '焖猪手', '自制猪肉脯', '蒙古烤羊腿', '辣炒鱿鱼']",芹菜炒腰花,0.011000000000000001,1.0,0.35,0.85,0.5,6.79
1696,"['剁椒鱼头', '自制猪肉脯', '香酥两吃大虾']",芹菜炒腰花,0.011000000000000001,0.7140000000000001,0.35,0.85,0.5,6.79
1948,"['凉拌菠菜', '焖猪手', '爆炒猪肝', '自制猪肉脯', '豌豆薯仔猪骨汤']",芹菜炒腰花,0.011000000000000001,1.0,0.35,0.85,0.5,6.79
1732,"['剁椒鱼头', '自制猪肉脯', '蒙古烤羊腿', '辣炒鱿鱼']",芹菜炒腰花,0.011000000000000001,0.7140000000000001,0.35,0.85,0.5,6.79
1719,"['凉拌菠菜', '爆炒猪肝', '香酥两吃大虾']",芹菜炒腰花,0.011000000000000001,0.526,0.35,0.85,0.5,6.79
2193,"['剁椒鱼头', '美妙绝伦之白莲花', '自制猪肉脯']",芹菜炒腰花,0.011000000000000001,0.909,0.35,0.85,0.5,6.79
1709,"['美妙绝伦之白莲花', '豌豆薯仔猪骨汤']",芹菜炒腰花,0.011000000000000001,0.526,0.35,0.85,0.5,6.79
2184,"['剁椒鱼头', '自制猪肉脯', '豌豆薯仔猪骨汤']",芹菜炒腰花,0.011000000000000001,0.909,0.35,0.85,0.5,6.79
2179,"['凉拌菠菜', '爆炒猪肝', '芝士烩波士顿龙虾']",芹菜炒腰花,0.011000000000000001,0.588,0.35,0.85,0.5,6.79
2081,"['凉拌菠菜', '美妙绝伦之白莲花', '自制猪肉脯', '芝士烩波士顿龙虾']",芹菜炒腰花,0.011000000000000001,0.909,0.35,0.85,0.5,6.79
1945,"['清蒸海鱼', '焖猪手', '爆炒猪肝']",芹菜炒腰花,0.011000000000000001,0.769,0.35,0.85,0.5,6.79
2175,"['大蒜苋菜', '自制猪肉脯']",芹菜炒腰花,0.011000000000000001,0.588,0.35,0.85,0.5,6.79
1946,"['剁椒鱼头', '焖猪手', '自制猪肉脯', '豌豆薯仔猪骨汤']",芹菜炒腰花,0.011000000000000001,1.0,0.35,0.85,0.5,6.79
2041,"['凉拌菠菜', '姜葱炒花蟹', '焖猪手', '蒙古烤羊腿']",芹菜炒腰花,0.011000000000000001,0.625,0.35,0.85,0.5,6.79
1954,"['清蒸海鱼', '爆炒猪肝', '自制猪肉脯', '谷稻小庄']",芹菜炒腰花,0.011000000000000001,1.0,0.35,0.85,0.5,6.79
2174,"['自制猪肉脯', '香烤牛排']",芹菜炒腰花,0.011000000000000001,0.588,0.35,0.85,0.5,6.79
1963,"['焖猪手', '美妙绝伦之白莲花', '自制猪肉脯', '辣炒鱿鱼']",芹菜炒腰花,0.011000000000000001,1.0,0.35,0.85,0.5,6.79
2159,"['焖猪手', '爆炒猪肝', '谷稻小庄', '辣炒鱿鱼']",芹菜炒腰花,0.011000000000000001,1.0,0.35,0.85,0.5,6.79
1975,"['焖猪手', '自制猪肉脯', '豌豆薯仔猪骨汤', '辣炒鱿鱼']",芹菜炒腰花,0.011000000000000001,0.769,0.35,0.85,0.5,6.79
1966,"['凉拌菠菜', '炝炒大白菜', '自制猪肉脯']",芹菜炒腰花,0.011000000000000001,0.769,0.35,0.85,0.5,6.79
