,support,confidence,lhs,rhs,sale,recommendation,profit,mark
1902,0.011000000000000001,0.625,"['焖猪手', '爆炒猪肝', '自制猪肉脯', '芹菜炒腰花', '辣炒鱿鱼']",剁椒鱼头,0.4,0.85,0.49,6.743
2027,0.011000000000000001,0.625,"['凉拌菠菜', '美妙绝伦之白莲花', '自制猪肉脯', '芹菜炒腰花']",剁椒鱼头,0.4,0.85,0.49,6.743
1621,0.011000000000000001,0.556,"['焖猪手', '自制猪肉脯', '芹菜炒腰花', '豌豆薯仔猪骨汤']",剁椒鱼头,0.4,0.85,0.49,6.743
2023,0.011000000000000001,0.625,"['凉拌菠菜', '蒙古烤羊腿', '谷稻小庄', '辣炒鱿鱼']",剁椒鱼头,0.4,0.85,0.49,6.743
1630,0.011000000000000001,0.556,"['自制猪肉脯', '芹菜炒腰花', '香酥两吃大虾']",剁椒鱼头,0.4,0.85,0.49,6.743
1631,0.011000000000000001,0.556,"['美妙绝伦之白莲花', '自制猪肉脯', '芹菜炒腰花']",剁椒鱼头,0.4,0.85,0.49,6.743
2018,0.011000000000000001,0.625,"['凉拌菠菜', '自制猪肉脯', '芹菜炒腰花', '豌豆薯仔猪骨汤']",剁椒鱼头,0.4,0.85,0.49,6.743
1969,0.011000000000000001,0.625,"['自制猪肉脯', '芹菜炒腰花', '蒙古烤羊腿', '辣炒鱿鱼']",剁椒鱼头,0.4,0.85,0.49,6.743
1679,0.011000000000000001,0.526,"['焖猪手', '爆炒猪肝', '谷稻小庄']",剁椒鱼头,0.4,0.85,0.49,6.743
1903,0.011000000000000001,0.625,"['焖猪手', '自制猪肉脯', '芹菜炒腰花', '蒙古烤羊腿', '辣炒鱿鱼']",剁椒鱼头,0.4,0.85,0.49,6.743
1571,0.011000000000000001,0.667,"['自制猪肉脯', '辣炒鱿鱼', '香酥两吃大虾']",剁椒鱼头,0.4,0.85,0.49,6.743
2231,0.011000000000000001,0.588,"['凉拌菠菜', '焖猪手', '自制猪肉脯', '蒙古烤羊腿']",剁椒鱼头,0.4,0.85,0.49,6.743
2240,0.011000000000000001,0.588,"['姜葱炒花蟹', '焖猪手', '辣炒鱿鱼']",剁椒鱼头,0.4,0.85,0.49,6.743
1761,0.011000000000000001,0.7140000000000001,"['凉拌菠菜', '焖猪手', '爆炒猪肝', '辣炒鱿鱼']",剁椒鱼头,0.4,0.85,0.49,6.743
2229,0.011000000000000001,0.588,"['凉拌菠菜', '焖猪手', '自制猪肉脯', '豌豆薯仔猪骨汤']",剁椒鱼头,0.4,0.85,0.49,6.743
1766,0.011000000000000001,0.7140000000000001,"['凉拌菠菜', '芹菜炒腰花', '辣炒鱿鱼', '香酥两吃大虾']",剁椒鱼头,0.4,0.85,0.49,6.743
2210,0.011000000000000001,0.588,"['凉拌菠菜', '爆炒猪肝', '芹菜炒腰花', '辣炒鱿鱼']",剁椒鱼头,0.4,0.85,0.49,6.743
2223,0.011000000000000001,0.588,"['爆炒猪肝', '自制猪肉脯', '芹菜炒腰花', '辣炒鱿鱼']",剁椒鱼头,0.4,0.85,0.49,6.743
2221,0.011000000000000001,0.588,"['焖猪手', '自制猪肉脯', '蒙古烤羊腿', '辣炒鱿鱼']",剁椒鱼头,0.4,0.85,0.49,6.743
2241,0.011000000000000001,0.588,"['姜葱炒花蟹', '蒙古烤羊腿', '辣炒鱿鱼']",剁椒鱼头,0.4,0.85,0.49,6.743
1530,0.011000000000000001,0.833,"['凉拌菠菜', '爆炒猪肝', '蒙古烤羊腿', '辣炒鱿鱼']",剁椒鱼头,0.4,0.85,0.49,6.743
1886,0.011000000000000001,0.769,"['爆炒猪肝', '自制猪肉脯', '蒙古烤羊腿']",剁椒鱼头,0.4,0.85,0.49,6.743
826,0.013999999999999999,0.52,"['凉拌菠菜', '焖猪手', '蒙古烤羊腿', '辣炒鱿鱼']",姜葱炒花蟹,0.32,0.9,0.4,6.731
2042,0.011000000000000001,0.625,"['凉拌菠菜', '焖猪手', '芹菜炒腰花', '蒙古烤羊腿']",姜葱炒花蟹,0.32,0.9,0.4,6.725
1623,0.011000000000000001,0.556,"['焖猪手', '芹菜炒腰花', '蒙古烤羊腿']",姜葱炒花蟹,0.32,0.9,0.4,6.725
1535,0.011000000000000001,0.556,"['五色糯米饭(七色)', '皮蛋瘦肉粥']",番茄炖牛腩,0.34,0.88,0.43,6.723
54,0.032,0.536,"['凉拌菠菜', '孜然羊排']",蒙古烤羊腿,0.47,0.85,0.48,6.717
61,0.031,0.518,"['焖猪手', '辣炒鱿鱼']",蒙古烤羊腿,0.47,0.85,0.48,6.715
86,0.028999999999999998,0.551,"['辣炒鱿鱼', '麻辣小龙虾']",蒙古烤羊腿,0.47,0.85,0.48,6.713
83,0.028999999999999998,0.574,"['剁椒鱼头', '辣炒鱿鱼']",蒙古烤羊腿,0.47,0.85,0.48,6.713
105,0.027000000000000003,0.625,"['凉拌菠菜', '焖猪手', '辣炒鱿鱼']",蒙古烤羊腿,0.47,0.85,0.48,6.711
128,0.026000000000000002,0.75,"['凉拌菠菜', '剁椒鱼头', '辣炒鱿鱼']",蒙古烤羊腿,0.47,0.85,0.48,6.709
119,0.026000000000000002,0.522,"['凉拌菠菜', '豌豆薯仔猪骨汤']",蒙古烤羊腿,0.47,0.85,0.48,6.709
147,0.025,0.6759999999999999,"['凉拌菠菜', '辣炒鱿鱼', '麻辣小龙虾']",蒙古烤羊腿,0.47,0.85,0.48,6.708
176,0.023,0.512,"['凉拌菠菜', '姜葱炒花蟹']",蒙古烤羊腿,0.47,0.85,0.48,6.706
220,0.021,0.526,"['凉拌菠菜', '自制猪肉脯', '辣炒鱿鱼']",蒙古烤羊腿,0.47,0.85,0.48,6.703
249,0.02,0.5589999999999999,"['豌豆薯仔猪骨汤', '辣炒鱿鱼']",蒙古烤羊腿,0.47,0.85,0.48,6.702
279,0.019,0.581,"['孜然羊排', '美妙绝伦之白莲花']",蒙古烤羊腿,0.47,0.85,0.48,6.701
382,0.018000000000000002,0.63,"['姜葱炒花蟹', '焖猪手']",蒙古烤羊腿,0.47,0.85,0.48,6.7
360,0.018000000000000002,0.586,"['凉拌菠菜', '水煮鱼', '辣炒鱿鱼']",蒙古烤羊腿,0.47,0.85,0.48,6.7
350,0.018000000000000002,0.68,"['剁椒鱼头', '焖猪手', '辣炒鱿鱼']",蒙古烤羊腿,0.47,0.85,0.48,6.7
380,0.018000000000000002,0.63,"['凉拌菠菜', '豌豆薯仔猪骨汤', '辣炒鱿鱼']",蒙古烤羊腿,0.47,0.85,0.48,6.7
338,0.018000000000000002,0.5479999999999999,"['姜葱炒花蟹', '辣炒鱿鱼']",蒙古烤羊腿,0.47,0.85,0.48,6.7
372,0.018000000000000002,0.5670000000000001,"['凉拌菠菜', '焖猪手', '豌豆薯仔猪骨汤']",蒙古烤羊腿,0.47,0.85,0.48,6.7
397,0.018000000000000002,0.515,"['焖猪手', '芹菜炒腰花', '辣炒鱿鱼']",蒙古烤羊腿,0.47,0.85,0.48,6.7
447,0.017,0.8,"['凉拌菠菜', '姜葱炒花蟹', '焖猪手']",蒙古烤羊腿,0.47,0.85,0.48,6.699
486,0.017,0.552,"['焖猪手', '自制猪肉脯', '芹菜炒腰花', '辣炒鱿鱼']",蒙古烤羊腿,0.47,0.85,0.48,6.699
458,0.017,0.667,"['剁椒鱼头', '豌豆薯仔猪骨汤']",蒙古烤羊腿,0.47,0.85,0.48,6.699
490,0.017,0.727,"['焖猪手', '豌豆薯仔猪骨汤', '辣炒鱿鱼']",蒙古烤羊腿,0.47,0.85,0.48,6.699
464,0.017,0.667,"['凉拌菠菜', '姜葱炒花蟹', '辣炒鱿鱼']",蒙古烤羊腿,0.47,0.85,0.48,6.699
456,0.017,0.762,"['凉拌菠菜', '孜然羊排', '辣炒鱿鱼']",蒙古烤羊腿,0.47,0.85,0.48,6.699
482,0.017,0.516,"['剁椒鱼头', '麻辣小龙虾']",蒙古烤羊腿,0.47,0.85,0.48,6.699
474,0.017,0.552,"['凉拌菠菜', '剁椒鱼头', '焖猪手']",蒙古烤羊腿,0.47,0.85,0.48,6.699
610,0.016,0.75,"['凉拌菠菜', '焖猪手', '豌豆薯仔猪骨汤', '辣炒鱿鱼']",蒙古烤羊腿,0.47,0.85,0.48,6.697
530,0.016,0.5770000000000001,"['凉拌菠菜', '焖猪手', '自制猪肉脯', '辣炒鱿鱼']",蒙古烤羊腿,0.47,0.85,0.48,6.697
532,0.016,0.5770000000000001,"['焖猪手', '谷稻小庄', '辣炒鱿鱼']",蒙古烤羊腿,0.47,0.85,0.48,6.697
575,0.016,0.536,"['凉拌菠菜', '焖猪手', '芹菜炒腰花', '辣炒鱿鱼']",蒙古烤羊腿,0.47,0.85,0.48,6.697
552,0.016,0.6,"['孜然羊排', '香酥两吃大虾']",蒙古烤羊腿,0.47,0.85,0.48,6.697
738,0.015,0.5379999999999999,"['凉拌菠菜', '剁椒鱼头', '自制猪肉脯']",蒙古烤羊腿,0.47,0.85,0.48,6.696
651,0.015,0.609,"['剁椒鱼头', '自制猪肉脯', '辣炒鱿鱼']",蒙古烤羊腿,0.47,0.85,0.48,6.696
647,0.015,0.636,"['凉拌菠菜', '孜然羊排', '麻辣小龙虾']",蒙古烤羊腿,0.47,0.85,0.48,6.696
687,0.015,0.5379999999999999,"['白胡椒胡萝卜羊肉汤', '辣炒鱿鱼']",蒙古烤羊腿,0.47,0.85,0.48,6.696
682,0.015,0.778,"['焖猪手', '辣炒鱿鱼', '麻辣小龙虾']",蒙古烤羊腿,0.47,0.85,0.48,6.696
716,0.015,0.875,"['凉拌菠菜', '剁椒鱼头', '孜然羊排']",蒙古烤羊腿,0.47,0.85,0.48,6.696
744,0.015,0.583,"['剁椒鱼头', '孜然羊排']",蒙古烤羊腿,0.47,0.85,0.48,6.696
746,0.015,0.583,"['凉拌菠菜', '焖猪手', '自制猪肉脯', '芹菜炒腰花', '辣炒鱿鱼']",蒙古烤羊腿,0.47,0.85,0.48,6.696
674,0.015,0.737,"['凉拌菠菜', '剁椒鱼头', '焖猪手', '辣炒鱿鱼']",蒙古烤羊腿,0.47,0.85,0.48,6.696
655,0.015,0.7,"['凉拌菠菜', '剁椒鱼头', '豌豆薯仔猪骨汤']",蒙古烤羊腿,0.47,0.85,0.48,6.696
923,0.013999999999999999,0.867,"['凉拌菠菜', '姜葱炒花蟹', '焖猪手', '辣炒鱿鱼']",蒙古烤羊腿,0.47,0.85,0.48,6.695
813,0.013999999999999999,0.52,"['谷稻小庄', '香辣爆羊肝']",蒙古烤羊腿,0.47,0.85,0.48,6.695
922,0.013999999999999999,0.867,"['剁椒鱼头', '孜然羊排', '辣炒鱿鱼']",蒙古烤羊腿,0.47,0.85,0.48,6.695
815,0.013999999999999999,0.52,"['姜葱炒花蟹', '自制猪肉脯']",蒙古烤羊腿,0.47,0.85,0.48,6.695
916,0.013999999999999999,0.565,"['凉拌菠菜', '焖猪手', '麻辣小龙虾']",蒙古烤羊腿,0.47,0.85,0.48,6.695
802,0.013999999999999999,0.722,"['凉拌菠菜', '剁椒鱼头', '自制猪肉脯', '辣炒鱿鱼']",蒙古烤羊腿,0.47,0.85,0.48,6.695
776,0.013999999999999999,0.542,"['豌豆薯仔猪骨汤', '麻辣小龙虾']",蒙古烤羊腿,0.47,0.85,0.48,6.695
807,0.013999999999999999,0.722,"['姜葱炒花蟹', '白胡椒胡萝卜羊肉汤']",蒙古烤羊腿,0.47,0.85,0.48,6.695
856,0.013999999999999999,0.765,"['凉拌菠菜', '剁椒鱼头', '麻辣小龙虾']",蒙古烤羊腿,0.47,0.85,0.48,6.695
859,0.013999999999999999,0.765,"['姜葱炒花蟹', '焖猪手', '辣炒鱿鱼']",蒙古烤羊腿,0.47,0.85,0.48,6.695
849,0.013999999999999999,0.565,"['水煮鱼', '焖猪手', '辣炒鱿鱼']",蒙古烤羊腿,0.47,0.85,0.48,6.695
884,0.013999999999999999,0.765,"['剁椒鱼头', '谷稻小庄', '辣炒鱿鱼']",蒙古烤羊腿,0.47,0.85,0.48,6.695
839,0.013999999999999999,1.0,"['凉拌菠菜', '剁椒鱼头', '孜然羊排', '辣炒鱿鱼']",蒙古烤羊腿,0.47,0.85,0.48,6.695
972,0.013000000000000001,0.545,"['芝麻烤紫菜', '谷稻小庄']",蒙古烤羊腿,0.47,0.85,0.48,6.694
1096,0.013000000000000001,0.8,"['凉拌菠菜', '剁椒鱼头', '豌豆薯仔猪骨汤', '辣炒鱿鱼']",蒙古烤羊腿,0.47,0.85,0.48,6.694
983,0.013000000000000001,0.545,"['凉拌菠菜', '剁椒鱼头', '爆炒猪肝']",蒙古烤羊腿,0.47,0.85,0.48,6.694
1021,0.013000000000000001,0.522,"['凉拌菠菜', '芝麻烤紫菜']",蒙古烤羊腿,0.47,0.85,0.48,6.694
1023,0.013000000000000001,0.522,"['水煮鱼', '豌豆薯仔猪骨汤']",蒙古烤羊腿,0.47,0.85,0.48,6.694
925,0.013000000000000001,0.667,"['自制猪肉脯', '辣炒鱿鱼', '麻辣小龙虾']",蒙古烤羊腿,0.47,0.85,0.48,6.694
1038,0.013000000000000001,0.667,"['剁椒鱼头', '焖猪手', '豌豆薯仔猪骨汤']",蒙古烤羊腿,0.47,0.85,0.48,6.694
1048,0.013000000000000001,0.6,"['剁椒鱼头', '芹菜炒腰花', '辣炒鱿鱼']",蒙古烤羊腿,0.47,0.85,0.48,6.694
1056,0.013000000000000001,0.5710000000000001,"['凉拌菠菜', '水煮鱼', '焖猪手']",蒙古烤羊腿,0.47,0.85,0.48,6.694
1059,0.013000000000000001,0.522,"['西瓜胡萝卜沙拉', '香辣爆羊肝']",蒙古烤羊腿,0.47,0.85,0.48,6.694
948,0.013000000000000001,0.5710000000000001,"['芝麻烤紫菜', '西瓜胡萝卜沙拉']",蒙古烤羊腿,0.47,0.85,0.48,6.694
939,0.013000000000000001,0.522,"['孜然羊排', '自制猪肉脯']",蒙古烤羊腿,0.47,0.85,0.48,6.694
1078,0.013000000000000001,0.8,"['凉拌菠菜', '焖猪手', '辣炒鱿鱼', '麻辣小龙虾']",蒙古烤羊腿,0.47,0.85,0.48,6.694
1080,0.013000000000000001,0.8,"['剁椒鱼头', '豌豆薯仔猪骨汤', '辣炒鱿鱼']",蒙古烤羊腿,0.47,0.85,0.48,6.694
1100,0.013000000000000001,0.75,"['孜然羊排', '辣炒鱿鱼', '麻辣小龙虾']",蒙古烤羊腿,0.47,0.85,0.48,6.694
1113,0.013000000000000001,0.75,"['孜然羊排', '豌豆薯仔猪骨汤']",蒙古烤羊腿,0.47,0.85,0.48,6.694
1084,0.013000000000000001,0.8,"['剁椒鱼头', '辣炒鱿鱼', '麻辣小龙虾']",蒙古烤羊腿,0.47,0.85,0.48,6.694
1178,0.012,0.579,"['姜葱炒花蟹', '芹菜炒腰花']",蒙古烤羊腿,0.47,0.85,0.48,6.693
1288,0.012,1.0,"['凉拌菠菜', '剁椒鱼头', '辣炒鱿鱼', '麻辣小龙虾']",蒙古烤羊腿,0.47,0.85,0.48,6.693
1263,0.012,0.611,"['剁椒鱼头', '焖猪手', '芹菜炒腰花', '辣炒鱿鱼']",蒙古烤羊腿,0.47,0.85,0.48,6.693
1281,0.012,0.611,"['水煮鱼', '辣炒鱿鱼', '麻辣小龙虾']",蒙古烤羊腿,0.47,0.85,0.48,6.693
1259,0.012,0.846,"['凉拌菠菜', '孜然羊排', '豌豆薯仔猪骨汤']",蒙古烤羊腿,0.47,0.85,0.48,6.693
1218,0.012,0.579,"['凉拌菠菜', '焖猪手', '谷稻小庄', '辣炒鱿鱼']",蒙古烤羊腿,0.47,0.85,0.48,6.693
1350,0.012,0.524,"['剁椒鱼头', '焖猪手', '自制猪肉脯']",蒙古烤羊腿,0.47,0.85,0.48,6.693
1274,0.012,0.611,"['凉拌菠菜', '孜然羊排', '自制猪肉脯']",蒙古烤羊腿,0.47,0.85,0.48,6.693
1499,0.012,0.688,"['凉拌菠菜', '剁椒鱼头', '焖猪手', '豌豆薯仔猪骨汤']",蒙古烤羊腿,0.47,0.85,0.48,6.693
1406,0.012,0.647,"['剁椒鱼头', '爆炒猪肝', '辣炒鱿鱼']",蒙古烤羊腿,0.47,0.85,0.48,6.693
1221,0.012,0.579,"['凉拌菠菜', '孜然羊排', '谷稻小庄']",蒙古烤羊腿,0.47,0.85,0.48,6.693
1388,0.012,0.524,"['凉拌菠菜', '剁椒鱼头', '美妙绝伦之白莲花']",蒙古烤羊腿,0.47,0.85,0.48,6.693
1444,0.012,0.647,"['凉拌菠菜', '剁椒鱼头', '芹菜炒腰花', '辣炒鱿鱼']",蒙古烤羊腿,0.47,0.85,0.48,6.693
1453,0.012,0.733,"['凉拌菠菜', '水煮鱼', '豌豆薯仔猪骨汤']",蒙古烤羊腿,0.47,0.85,0.48,6.693
1220,0.012,0.579,"['凉拌菠菜', '孜然羊排', '美妙绝伦之白莲花']",蒙古烤羊腿,0.47,0.85,0.48,6.693
1480,0.012,0.733,"['凉拌菠菜', '水煮鱼', '焖猪手', '辣炒鱿鱼']",蒙古烤羊腿,0.47,0.85,0.48,6.693
1380,0.012,0.55,"['孜然羊排', '芹菜炒腰花']",蒙古烤羊腿,0.47,0.85,0.48,6.693
1585,0.011000000000000001,0.667,"['凉拌菠菜', '孜然羊排', '爆炒猪肝']",蒙古烤羊腿,0.47,0.85,0.48,6.691
2065,0.011000000000000001,0.7140000000000001,"['凉拌菠菜', '姜葱炒花蟹', '芹菜炒腰花']",蒙古烤羊腿,0.47,0.85,0.48,6.691
1570,0.011000000000000001,0.667,"['芹菜炒腰花', '豌豆薯仔猪骨汤', '辣炒鱿鱼']",蒙古烤羊腿,0.47,0.85,0.48,6.691
2059,0.011000000000000001,0.625,"['孜然羊排', '自制猪肉脯', '辣炒鱿鱼']",蒙古烤羊腿,0.47,0.85,0.48,6.691
2069,0.011000000000000001,0.7140000000000001,"['凉拌菠菜', '自制猪肉脯', '麻辣小龙虾']",蒙古烤羊腿,0.47,0.85,0.48,6.691
1725,0.011000000000000001,0.7140000000000001,"['凉拌菠菜', '自制猪肉脯', '辣炒鱿鱼', '麻辣小龙虾']",蒙古烤羊腿,0.47,0.85,0.48,6.691
2247,0.011000000000000001,0.588,"['剁椒鱼头', '焖猪手', '谷稻小庄']",蒙古烤羊腿,0.47,0.85,0.48,6.691
1600,0.011000000000000001,0.667,"['剁椒鱼头', '焖猪手', '自制猪肉脯', '辣炒鱿鱼']",蒙古烤羊腿,0.47,0.85,0.48,6.691
2075,0.011000000000000001,0.7140000000000001,"['凉拌菠菜', '姜葱炒花蟹', '自制猪肉脯']",蒙古烤羊腿,0.47,0.85,0.48,6.691
1843,0.011000000000000001,0.526,"['剁椒鱼头', '姜葱炒花蟹']",蒙古烤羊腿,0.47,0.85,0.48,6.691
2173,0.011000000000000001,0.588,"['孜然羊排', '香烤牛排']",蒙古烤羊腿,0.47,0.85,0.48,6.691
1851,0.011000000000000001,0.833,"['凉拌菠菜', '剁椒鱼头', '姜葱炒花蟹']",蒙古烤羊腿,0.47,0.85,0.48,6.691
2230,0.011000000000000001,0.588,"['凉拌菠菜', '剁椒鱼头', '焖猪手', '自制猪肉脯']",蒙古烤羊腿,0.47,0.85,0.48,6.691
2085,0.011000000000000001,0.909,"['凉拌菠菜', '剁椒鱼头', '姜葱炒花蟹', '辣炒鱿鱼']",蒙古烤羊腿,0.47,0.85,0.48,6.691
1557,0.011000000000000001,0.833,"['凉拌菠菜', '姜葱炒花蟹', '焖猪手', '芹菜炒腰花']",蒙古烤羊腿,0.47,0.85,0.48,6.691
1976,0.011000000000000001,0.769,"['焖猪手', '自制猪肉脯', '豌豆薯仔猪骨汤', '辣炒鱿鱼']",蒙古烤羊腿,0.47,0.85,0.48,6.691
2123,0.011000000000000001,0.909,"['凉拌菠菜', '剁椒鱼头', '谷稻小庄', '辣炒鱿鱼']",蒙古烤羊腿,0.47,0.85,0.48,6.691
1853,0.011000000000000001,0.833,"['豌豆薯仔猪骨汤', '辣炒鱿鱼', '麻辣小龙虾']",蒙古烤羊腿,0.47,0.85,0.48,6.691
1764,0.011000000000000001,0.7140000000000001,"['凉拌菠菜', '剁椒鱼头', '爆炒猪肝', '辣炒鱿鱼']",蒙古烤羊腿,0.47,0.85,0.48,6.691
1856,0.011000000000000001,0.833,"['凉拌菠菜', '豌豆薯仔猪骨汤', '麻辣小龙虾']",蒙古烤羊腿,0.47,0.85,0.48,6.691
1777,0.011000000000000001,0.833,"['剁椒鱼头', '姜葱炒花蟹', '辣炒鱿鱼']",蒙古烤羊腿,0.47,0.85,0.48,6.691
2152,0.011000000000000001,0.7140000000000001,"['姜葱炒花蟹', '焖猪手', '芹菜炒腰花']",蒙古烤羊腿,0.47,0.85,0.48,6.691
1612,0.011000000000000001,0.667,"['剁椒鱼头', '焖猪手', '自制猪肉脯', '芹菜炒腰花', '辣炒鱿鱼']",蒙古烤羊腿,0.47,0.85,0.48,6.691
1767,0.011000000000000001,0.7140000000000001,"['凉拌菠菜', '孜然羊排', '自制猪肉脯', '辣炒鱿鱼']",蒙古烤羊腿,0.47,0.85,0.48,6.691
1772,0.011000000000000001,0.7140000000000001,"['焖猪手', '芹菜炒腰花', '豌豆薯仔猪骨汤', '辣炒鱿鱼']",蒙古烤羊腿,0.47,0.85,0.48,6.691
