,id,dishes_name,price,cost,recommend_percent,rate
107,610062,蒜蓉生蚝,49,28.0,0.89,0.43
108,610003,蒜香包,13,8.0,0.83,0.38
109,610063,蒜香辣花甲,45,29.0,0.88,0.36
110,610031,糖醋蕃茄溜青花,33,12.0,0.89,0.64
111,609990,特醇嘉士伯啤酒罐装,6,2.0,0.79,0.67
112,610001,土豆西红柿汤面,13,8.0,0.82,0.38
113,609930,豌豆薯仔猪骨汤,39,24.0,0.88,0.38
114,610042,五彩豆,29,19.0,0.73,0.34
115,610016,五彩藕苗,35,15.0,0.85,0.57
116,610008,五色糯米饭(七色),35,17.0,0.7,0.51
117,609982,五香酱驴肉,52,36.0,0.84,0.31
118,610047,西瓜胡萝卜沙拉,26,8.0,0.88,0.69
119,609979,鲜美鳝鱼,55,19.0,0.79,0.65
120,610012,香菇鹌鹑蛋,39,17.0,0.78,0.56
121,609939,香菇鸡肉粥,15,10.0,0.83,0.33
122,609991,香烤牛排,55,30.0,0.81,0.45
123,609958,香辣爆羊肝,28,15.0,0.88,0.46
124,609969,香辣腐乳炒虾,56,33.0,0.83,0.41
125,609967,香酥两吃大虾,89,55.0,0.8,0.38
126,609959,小炒羊腰,36,20.0,0.83,0.44
127,609938,小米南瓜粥,13,7.0,0.85,0.46
128,609975,一品香酥藕,10,4.0,,0.6
129,609949,意文柠檬汁,13,8.0,0.89,0.38
130,609968,油焖麻辣虾,65,43.0,0.81,0.34
131,609999,鱼香肉丝拌面,18,12.0,0.89,0.33
132,610026,玉竹南北杏鸭腿汤,35,12.0,0.8,0.66
133,610033,张裕葡萄酒张裕赤霞珠干红,32,20.0,0.83,0.38
134,610032,长城窖酿解百纳红酒干红葡萄酒,35,20.0,0.8,0.43
135,610018,照烧鸡腿,16,6.0,0.79,0.62
136,610038,芝麻烤紫菜,25,10.0,0.78,0.6
137,609966,芝士烩波士顿龙虾,175,130.0,0.89,0.26
138,610056,纸杯蛋糕,8,3.0,0.82,0.62
139,609984,重庆特色油烧兔,69,42.0,0.88,0.39
140,609956,孜然羊排,88,49.0,0.91,0.44
141,609973,紫薯面包卷,20,10.0,0.83,0.5
142,609933,自制猪肉脯,48,29.0,0.86,0.4
